2026-07-13 19:00:12 | DEBUG   | services.genai_service | LLM call. component=Regulatory Confidence Assessment regulation=None roles=None context_chars=636
2026-07-13 19:00:23 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:00:23 | INFO    | __main__ | Reg AI RAP starting up. Log file at C:\Users\skemidi001\Desktop\Work\regai\logs\regai.log
2026-07-13 19:00:23 | INFO    | __main__ | Agent 3 (Questionnaire) starting. mode=Generate BRD/FRD from regulation regulation=DORA
2026-07-13 19:00:23 | INFO    | orchestrator | Agent 3 (Questionnaire) invoked from BRD report. regulation=DORA client_roles=None
2026-07-13 19:00:23 | INFO    | services.questionnaire_generator | Building questionnaire package. regulation=DORA requirements=68 obligations=80 roles=None client=genai
2026-07-13 19:00:23 | DEBUG   | services.genai_service | LLM call. component=Regulatory Impact Assessment regulation=None roles=None context_chars=10581
2026-07-13 19:00:23 | INFO    | services.questionnaire_generator | Impact pairs derived. total=25 (after dedup)
2026-07-13 19:00:23 | INFO    | services.ai_questionnaire_generator | AI questionnaire generation start. regulation=DORA pairs=25 obligations=80 requirements=68 roles=None client=genai
2026-07-13 19:00:24 | DEBUG   | services.genai_service | LLM call. component=Questionnaire funnel: Third Party Risk Management / Dependency / Vendor / Third-Party Management regulation=DORA roles=None context_chars=0
2026-07-13 19:00:24 | DEBUG   | services.genai_service | LLM call. component=Questionnaire funnel: Operating Model / Risk Management regulation=DORA roles=None context_chars=0
2026-07-13 19:00:24 | DEBUG   | services.genai_service | LLM call. component=Questionnaire funnel: Regulatory Reporting & Financial Reporting / Internal Audit / Assurance regulation=DORA roles=None context_chars=0
2026-07-13 19:00:24 | DEBUG   | services.genai_service | LLM call. component=Questionnaire funnel: Governance Model / Business Continuity / Resilience regulation=DORA roles=None context_chars=0
2026-07-13 19:00:24 | DEBUG   | services.genai_service | LLM call. component=Questionnaire funnel: Risk & Controls framework / Internal Audit / Assurance regulation=DORA roles=None context_chars=0
2026-07-13 19:00:24 | DEBUG   | services.genai_service | LLM call. component=Questionnaire funnel: Regulatory Reporting & Financial Reporting / Data Governance / Reporting regulation=DORA roles=None context_chars=0
2026-07-13 19:00:24 | DEBUG   | services.genai_service | LLM call. component=Questionnaire funnel: Data Reporting & Governance / Data Governance / Reporting regulation=DORA roles=None context_chars=0
2026-07-13 19:00:24 | DEBUG   | services.genai_service | LLM call. component=Questionnaire funnel: Regulatory Reporting & Financial Reporting / Business Continuity / Resilience regulation=DORA roles=None context_chars=0
